name,date,long
USA 257 (CLIO),17-Sep-14,50.3
MEASAT 3B,11-Sep-14,91.5
OPTUS 10,11-Sep-14,156
ASIASAT 6,7-Sep-14,119.9
ASIASAT 8,5-Aug-14,-3.9
EUTE 3B,26-May-14,3.1
USA 252,22-May-14,-19.7
KAZSAT 3,28-Apr-14,58.5
LUCH 5V,28-Apr-14,94.6
USA 250 (NROL-67),10-Apr-14,69.3
IRNSS 1B,4-Apr-14,52.4
ASTRA 5B,22-Mar-14,31.5
AMAZONAS 4A,22-Mar-14,-73.9
EXPRESS AT-2,15-Mar-14,139.8
EXPRESS AT-1,15-Mar-14,56
TURKSAT 4A,14-Feb-14,42
ATHENA-FIDUS,6-Feb-14,37.8
ABS 2,6-Feb-14,74.9
TDRS-12,23-Jan-14,-40.9
THAICOM 6,6-Jan-14,78.5
GSAT-14,5-Jan-14,74
EXPRESS-AM5,26-Dec-13,140
TUPAC KATARI,20-Dec-13,-87.1
INMARSAT 5-F1,8-Dec-13,62.6
SES-8,3-Dec-13,95
RADUGA-1M 3,11-Nov-13,35
ASTRA 2E,29-Sep-13,28.5
AEHF-3 (USA 246),18-Sep-13,-155.6
AMOS-4,31-Aug-13,65
GSAT-7 (INSAT 4F),29-Aug-13,74.1
EUTELSAT 25B (ES'HAIL 1),29-Aug-13,25.5
WGS F6 (USA 244),8-Aug-13,-135.2
INSAT 3D,25-Jul-13,82.1
ALPHASAT (INMARSAT 4A-F4),25-Jul-13,24.9
IRNSS-1A,1-Jul-13,52.2
SES-6,3-Jun-13,-40.5
EUTE 3D,14-May-13,7
CHINASAT 11,1-May-13,97.9
ANIK G1,15-Apr-13,-107.3
SATMEX 8,26-Mar-13,-116.8
SBIRS GEO 2 (USA 241),19-Mar-13,-13
AZERSPACE 1,7-Feb-13,46
AMAZONAS 3,7-Feb-13,-61
TDRS 11,31-Jan-13,-174.3
MEXSAT 3,19-Dec-12,-114.8
SKYNET 5D,19-Dec-12,52.8
YAMAL 402,8-Dec-12,54.9
EUTE 70B,3-Dec-12,70.5
CHINASAT 15A,27-Nov-12,87.5
ECHOSTAR 16,20-Nov-12,-61.5
EUTE 21B,10-Nov-12,21.6
STARONE C3,10-Nov-12,-75
YAMAL 300K,2-Nov-12,-177
LUCH 5B,2-Nov-12,-16.4
BEIDOU G6,25-Oct-12,84
INTELSAT 23,14-Oct-12,-53
GSAT 10,28-Sep-12,83.1
ASTRA 2F,28-Sep-12,28.2
INTELSAT 21,19-Aug-12,-58
EXPRESS MD2,6-Aug-12,-121.4
HYLAS 2,2-Aug-12,31
INTELSAT 20,2-Aug-12,68.5
TIANLIAN 1-03,25-Jul-12,20.3
SES 5,9-Jul-12,5
METEOSAT 10 (MSG 3),5-Jul-12,9.3
ECHOSTAR 17,5-Jul-12,-107.1
INTELSAT 19,1-Jun-12,166
CHINASAT 2A,26-May-12,98.3
NIMIQ 6,17-May-12,-91.1
VINASAT 2,15-May-12,131.8
JCSAT 13,15-May-12,124
AEHF 2 (USA 235),4-May-12,-94.1
YAHSAT 1B,23-Apr-12,47.6
APSTAR 7,31-Mar-12,76.5
INTELSAT 22,25-Mar-12,72.1
MUOS,24-Feb-12,-99.6
SES 4,14-Feb-12,-22
WGS F4 (USA 233),20-Jan-12,88.4
FENGYUN 2F,13-Jan-12,112.2
NIGCOMSAT 1R,19-Dec-11,42.5
LUCH 5A,11-Dec-11,166.9
AMOS 5,11-Dec-11,103.4
ASIASAT 7,25-Nov-11,105.5
VIASAT 1,19-Oct-11,-115.1
EUTE 16A (EUTE W3C),7-Oct-11,16
INTELSAT 18,5-Oct-11,-180
QUETZSAT 1,29-Sep-11,-77
EUTE 7 WEST A (AB 7),24-Sep-11,-7.3
ARABSAT 5C,21-Sep-11,20
SES 2,21-Sep-11,-87
COSMOS 2473,20-Sep-11,-147.5
CHINASAT 1A,17-Sep-11,129.8
PAKSAT 1R,11-Aug-11,38
BSAT-3C,6-Aug-11,110
ASTRA 1N,6-Aug-11,19.1
BEIDOU IGSO 4,26-Jul-11,87.6
KAZSAT 2,15-Jul-11,86.5
SES 3,15-Jul-11,-103
GSAT 12,15-Jul-11,47.8
TIANLIAN 1-02,11-Jul-11,167.3
CHINASAT 10,20-Jun-11,110.4
ST 2,20-May-11,88
GSAT 8,20-May-11,55.1
TELSTAR 14R,20-May-11,-63
SBIRS GEO 1 (USA 230),7-May-11,66.2
YAHSAT 1A,22-Apr-11,52.5
