name,date,long
INTELSAT 707,14-Mar-96,-40.8
NSTAR B,5-Feb-96,-152.7
PAKSAT 1 (ANATOLIA 1),1-Feb-96,44.4
GORIZONT 31,25-Jan-96,-40.4
ABS-1A (KOREASAT 2),14-Jan-96,-58.8
AFRICASAT 1 (MEASAT 1),12-Jan-96,-152.1
INTELSAT 3R (PAS 3R),12-Jan-96,93.2
ECHOSTAR 1,28-Dec-95,-66.9
GALAXY 3R,15-Dec-95,-100.3
INSAT 2C,6-Dec-95,51.7
TELECOM 2C,6-Dec-95,-36.4
AMOS 5I (ASIASAT 2),28-Nov-95,-5.2
GALS 2,17-Nov-95,-147.5
USA 115,6-Nov-95,-119.2
ASTRA 1E,19-Oct-95,-62.2
LUCH 1,11-Oct-95,73.3
TELSTAR 4 (TELSTAR 402R),24-Sep-95,-118.1
COSMOS 2319,30-Aug-95,-21.7
NSTAR A,29-Aug-95,30.9
JCSAT 3,29-Aug-95,98.7
KOREASAT 1,5-Aug-95,-135
INTELSAT 4 (PAS 4),3-Aug-95,85.9
TDRS 7,13-Jul-95,84.3
DIRECTV 3 (DBS/NIMIQ 3),10-Jun-95,26.1
GOES 9,23-May-95,179.8
INTELSAT 706,17-May-95,-153.6
AMSC 1,7-Apr-95,-106.9
HOT BIRD 1,28-Mar-95,15.9
BRAZILSAT B2,28-Mar-95,-128.4
INTELSAT 705,22-Mar-95,-115.3
INTELSAT 704,10-Jan-95,-19.7
RADUGA 32,28-Dec-94,78.2
LUCH,16-Dec-94,-114.5
DFH-3 1,29-Nov-94,30.8
TELSTAR 11 (ORION 1),29-Nov-94,165.4
ASTRA 1D,1-Nov-94,-125.5
ELEKTRO (GOMS),31-Oct-94,81.8
EXPRESS 1,13-Oct-94,105.7
THAICOM 2,8-Oct-94,37
SOLIDARIDAD 2,8-Oct-94,-128.2
NSS 703 (INTELSAT 703),6-Oct-94,-166.7
COSMOS 2291,21-Sep-94,-84.6
ETS 6,28-Aug-94,-49.9
OPTUS B3,27-Aug-94,-113
TURKSAT 1B,10-Aug-94,-67.2
BRAZILSAT B1,10-Aug-94,178.9
DIRECTV 2 (DBS 2),3-Aug-94,44.3
APSTAR 1,21-Jul-94,-83.8
BS-3N,8-Jul-94,1.4
INTELSAT 2 (PAS 2),8-Jul-94,130.1
INTELSAT 702,17-Jun-94,-51
GOES 8,13-Apr-94,-79.1
GALAXY 1R,19-Feb-94,1.4
USA 99,7-Feb-94,-89
GALS 1,20-Jan-94,112
THAICOM 1,18-Dec-93,-67.3
DIRECTV 1 (DBS 1),18-Dec-93,-43.7
TELSTAR 401,16-Dec-93,-99.4
NATO 4B,8-Dec-93,-72.3
METEOSAT 6,20-Nov-93,124.7
SOLIDARIDAD 1,20-Nov-93,-104.4
GORIZONT 29,18-Nov-93,24.8
GORIZONT 28,28-Oct-93,-14.6
INTELSAT 701,22-Oct-93,38.7
RADUGA 30,30-Sep-93,78.1
ACTS,12-Sep-93,-104.2
INSAT 2B,22-Jul-93,23.4
HISPASAT 1B,22-Jul-93,-87.6
HGS 4 (GALAXY 4),25-Jun-93,73.4
ASTRA 1C,12-May-93,153
UFO 1 (USA 98),25-Mar-93,78.1
RADUGA 29,25-Mar-93,21.6
TDRS 6,13-Jan-93,-46.6
COSMOS 2224,17-Dec-92,136.5
SUPERBIRD A1,1-Dec-92,136.1
GORIZONT 27,27-Nov-92,102.3
EKRAN 20,30-Oct-92,84.6
GALAXY 7,28-Oct-92,-165.7
HELLAS SAT 1 (DFS 3),12-Oct-92,-76.6
SATCOM C3,10-Sep-92,-9.7
HISPASAT 1A,10-Sep-92,-79.9
SATCOM C4,31-Aug-92,115.6
OPTUS B1 (AUSSAT B1),13-Aug-92,137.9
GORIZONT 26,14-Jul-92,74.1
EUTELSAT 2-F4,9-Jul-92,-171.2
INSAT 2A,9-Jul-92,-159.2
PALAPA B4,14-May-92,-39
INMARSAT 2-F4,15-Apr-92,-46.8
TELECOM 2B,15-Apr-92,16.3
GORIZONT 25,2-Apr-92,96.7
GALAXY 5,14-Mar-92,-12.2
INSAT 2R (ARABSAT 1C),26-Feb-92,-130.1
SUPERBIRD B1,26-Feb-92,115.4
STTW-5,28-Dec-91,-21.7
INMARSAT 2-F3,16-Dec-91,-6.4
TELECOM 2A,16-Dec-91,143.5
EUTELSAT 2-F3,7-Dec-91,-125.8
COSMOS 2172,22-Nov-91,64.2
INTELSAT 601,29-Oct-91,176.7
ANIK E1,26-Sep-91,-154.1
BS-3B (YURI 3B),25-Aug-91,175.7
INTELSAT 605,14-Aug-91,-16.6
TDRS 5,2-Aug-91,-166.8
AURORA 2,29-May-91,-126.6
SPACENET 4 (ASC 2),13-Apr-91,-88.1
ANIK E2,4-Apr-91,133.2
INMARSAT 2-F2,8-Mar-91,-30.6
METEOSAT 5 (MOP 2),2-Mar-91,-8.5
ASTRA 1B,2-Mar-91,57.6
COSMOS 2133,14-Feb-91,77.4
EUTELSAT 2-F2,15-Jan-91,-162.1
ITALSAT 1,15-Jan-91,13.2
NATO 4A,8-Jan-91,-5.8
GSTAR 4,20-Nov-90,-131.6
SATCOM C1,20-Nov-90,-168.2
USA 65,13-Nov-90,-27.5
INMARSAT 2-F1,30-Oct-90,131.7
GALAXY 6,12-Oct-90,-177.8
SBS 6,12-Oct-90,102.5
EUTELSAT 2-F1,30-Aug-90,78.1
SKYNET 4C,30-Aug-90,34.2
BS-3A (YURI 3A),28-Aug-90,-5.9
THOR 1 (MARCOPOLO 2),18-Aug-90,134.1
DFS 2,24-Jul-90,48
TDF 2,24-Jul-90,-65.2
COSMOS 2085,18-Jul-90,69.8
INTELSAT 604,23-Jun-90,126.1
INSAT 1D,12-Jun-90,80.1
NEWSAT-1 (PALAPA B2R),13-Apr-90,-59.6
ASIASAT 1,7-Apr-90,178
INTELSAT 603,14-Mar-90,62.8
STTW-4,4-Feb-90,89.5
LEASAT 5,9-Jan-90,139.6
JCSAT 2,1-Jan-90,-132.3
SKYNET 4A,1-Jan-90,178.9
COSMOS 2054,27-Dec-89,-154.2
INTELSAT 602,27-Oct-89,-158.7
FLTSATCOM 8 (USA 46),25-Sep-89,71.9
HIMAWARI 4 (GMS 4),5-Sep-89,-101.6
SIRIUS W (MARCOPOLO 1),27-Aug-89,42.2
TVSAT 2,8-Aug-89,-106.8
OLYMPUS 1,12-Jul-89,-94.5
DFS 1,5-Jun-89,-29.3
SUPERBIRD A,5-Jun-89,36.5
TELE-X,2-Apr-89,-155.2
TDRS 4,13-Mar-89,-129.7
METEOSAT 4 (MOP 1),6-Mar-89,31.8
JCSAT 1,6-Mar-89,-32.9
STTW-3,22-Dec-88,64.9
ASTRA 1A,11-Dec-88,-80.5
SKYNET 4B,11-Dec-88,60.8
EKRAN 19,10-Dec-88,-53
TDF 1,28-Oct-88,-134.4
TDRS 3,29-Sep-88,-49.9
CS 3B,16-Sep-88,-53.4
SBS 5,8-Sep-88,-179.7
GSTAR 3,8-Sep-88,-105.8
COSMOS 1961,1-Aug-88,76.9
EUTELSAT 1-F5 (ECS 5),21-Jul-88,-71.9
INSAT 1C,21-Jul-88,59.3
PAS 1,15-Jun-88,154.4
METEOSAT 3,15-Jun-88,-147.9
EKRAN 18,6-May-88,45.7
COSMOS 1940,26-Apr-88,-103.2
TELECOM 1C,11-Mar-88,-171.6
SPACENET 3R,11-Mar-88,104.9
STTW-2,7-Mar-88,87
CS 3A,19-Feb-88,-116.5
EKRAN 17,27-Dec-87,-107.3
USA 28,29-Nov-87,-122
COSMOS 1897,26-Nov-87,96.6
TVSAT 1,21-Nov-87,-83.7
COSMOS 1888,1-Oct-87,-9.6
EUTELSAT 1-F4 (ECS 4),16-Sep-87,-94.9
OPTUS A3 (AUSSAT 3),16-Sep-87,-14.9
EKRAN 16,3-Sep-87,81.5
KIKU 5 (ETS 5),27-Aug-87,124.1
AGILA 1 (PALAPA B2P),20-Mar-87,63.6
GOES 7,26-Feb-87,-135.3
FLTSATCOM 7 (USA 20),5-Dec-86,58.7
EKRAN 15,24-May-86,113.5
COSMOS 1738,4-Apr-86,-3.1
BRAZILSAT 2,28-Mar-86,-154.2
GSTAR 2,28-Mar-86,131.7
BS-2B (YURI 2B),12-Feb-86,105.1
STTW-1,1-Feb-86,50
SATCOM K1,12-Jan-86,71.5
SATCOM K2,27-Nov-85,119.8
OPTUS A2 (AUSSAT 2),27-Nov-85,-8.1
MORELOS 2,27-Nov-85,-16.2
COSMOS 1700,25-Oct-85,92.9
LEASAT 4,27-Aug-85,138.6
ASC 1,27-Aug-85,-105.9
OPTUS A1 (AUSSAT 1),27-Aug-85,-91.6
INTELSAT 511,30-Jun-85,-28.3
TELSTAR 303,17-Jun-85,-61
ARABSAT 1B,17-Jun-85,104.5
MORELOS 1,17-Jun-85,-173.1
TELECOM 1B,8-May-85,-13.3
GSTAR 1,8-May-85,-105.2
LEASAT 3,12-Apr-85,124.1
NAHUEL I1 (ANIK C1),12-Apr-85,73.5
EKRAN 14,22-Mar-85,-9
BRAZILSAT 1,8-Feb-85,-28
ARABSAT 1A,8-Feb-85,-129.5
USA 7,22-Dec-84,165.9
NATO 3D,14-Nov-84,40.5
MARECS B2,10-Nov-84,-158.7
SPACENET 2,10-Nov-84,-3.1
LEASAT 1,8-Nov-84,14.2
ARABSAT 1D (ANIK D2),8-Nov-84,-171
GALAXY 3,21-Sep-84,137
TELSTAR 302,30-Aug-84,23.4
LEASAT 2,30-Aug-84,-158.3
SBS 4,30-Aug-84,74.4
EKRAN 13,24-Aug-84,62.8
TELECOM 1A,4-Aug-84,70
EUTELSAT 1-F2 (ECS 2),4-Aug-84,-150.4
HIMAWARI 3 (GMS 3),2-Aug-84,-24.2
CHINASAT 5 (SPACENET 1),23-May-84,-130.3
OPS 7641,14-Apr-84,17.9
STTW-T2,8-Apr-84,108
EKRAN 12,16-Mar-84,57.9
COSMOS 1540,2-Mar-84,77.9
STTW-T1,29-Jan-84,45.8
YURI 2A (BS-2A),23-Jan-84,95
EKRAN 11,29-Sep-83,82.7
GALAXY 2,22-Sep-83,-110.5
SATCOM 2R,8-Sep-83,-15.6
INSAT 1B,30-Aug-83,122.2
SAKURA 2B (CS-2B),5-Aug-83,117.1
ARABSAT 1DR (TELSTAR 3A),28-Jul-83,-107
GALAXY 1,28-Jun-83,-59.8
PALAPA B1,18-Jun-83,143.9
NAHUEL I2 (ANIK C2),18-Jun-83,-47.7
EUTELSAT 1-F1 (ECS 1),16-Jun-83,74
SATCOM 1R,11-Apr-83,-33.2
TDRS 1,4-Apr-83,-173.6
EKRAN 10,12-Mar-83,60.4
SAKURA 2A (CS-2A),4-Feb-83,159
ANIK C3 (TELESAT-5),11-Nov-82,66.8
SBS 3,11-Nov-82,69.8
SATCOM C5,28-Oct-82,-105
EKRAN 9,16-Sep-82,52.2
ANIK D1 (TELESAT 6),26-Aug-82,173.5
WESTAR 5,9-Jun-82,81.5
COSMOS 1366,17-May-82,81.6
INSAT 1A,10-Apr-82,45.6
WESTAR 4,26-Feb-82,-131.7
EKRAN 8,5-Feb-82,-142.7
SATCOM 4,16-Jan-82,-172.9
MARECS A,20-Dec-81,-118.1
SATCOM 3R,20-Nov-81,-45.7
SBS 2,24-Sep-81,43.1
HIMAWARI 2 (GMS 2),10-Aug-81,102.6
FLTSATCOM 5,6-Aug-81,-69.4
EKRAN 7,26-Jun-81,65.2
APPLE,19-Jun-81,-17.8
METEOSAT 2,19-Jun-81,11.8
ESIAFI 1 (COMSTAR 4),21-Feb-81,69.4
EKRAN 6,26-Dec-80,66.4
SBS 1,15-Nov-80,25
OPS 6394 (FLTSATCOM 4),31-Oct-80,-97.6
EKRAN 5,15-Jul-80,-158.5
OPS 6393 (FLTSATCOM 3),18-Jan-80,-128.9
SATCOM 3,7-Dec-79,172.6
EKRAN 4,3-Oct-79,85.8
OPS 1948,1-Oct-79,35.5
WESTAR 3,10-Aug-79,87.1
OPS 7484,10-Jun-79,162
OPS 6392 (FLTSATCOM 2),4-May-79,75.1
EKRAN 3,21-Feb-79,99.9
ANIK B1 (TELESAT-4),16-Dec-78,120.1
NATO 3C,19-Nov-78,89
GEOS 2,14-Jul-78,155.2
COMSTAR 3,29-Jun-78,-32.2
OPS 9454,10-Jun-78,-70.1
OTS 2,11-May-78,-102.7
YURI (BSE),7-Apr-78,53.6
OPS 8790,7-Apr-78,86.5
OPS 6391 (FLTSATCOM 1),9-Feb-78,-130.9
SAKURA 1A (CS-1A),15-Dec-77,-92.8
OPS 4258,11-Dec-77,-177.2
METEOSAT 1,23-Nov-77,27
EKRAN 2,20-Sep-77,71.2
SIRIO,25-Aug-77,74.4
HIMAWARI 1 (GMS 1),14-Jul-77,26.8
OPS 9751,23-May-77,55.5
ESA/GOES,20-Apr-77,11.7
PALAPA 2,10-Mar-77,123.6
KIKU 2 (ETS 2),23-Feb-77,15.9
OPS 3151,6-Feb-77,-92.8
NATO 3B,28-Jan-77,60.7
EKRAN 1,26-Oct-76,56.6
MARISAT 2,14-Oct-76,-13.2
COMSTAR 2,22-Jul-76,53.6
PALAPA 1,8-Jul-76,-94.5
OPS 2112,26-Jun-76,172.5
MARISAT 3,10-Jun-76,-35.6
COMSTAR 1,13-May-76,-21.5
NATO 3A,22-Apr-76,149.7
SATCOM 2,26-Mar-76,139
LES 9,15-Mar-76,-106.8
LES 8,15-Mar-76,-105.2
MARISAT 1,19-Feb-76,154.5
CTS,17-Jan-76,-72.1
SATCOM 1,13-Dec-75,37.6
SYMPHONIE 2,27-Aug-75,-133.5
OPS 4966,18-Jun-75,60.9
ANIK A3 (TELESAT-3),7-May-75,63.4
SMS 2,6-Feb-75,-131.6
SYMPHONIE 1,19-Dec-74,139.8
SKYNET 2B,23-Nov-74,63.5
WESTAR 2,10-Oct-74,-153.6
ATS 6,30-May-74,173
SMS 1,17-May-74,162.3
WESTAR 1,13-Apr-74,126.9
COSMOS 637,26-Mar-74,-108.6
OPS 6157,12-Jun-73,-170.9
ANIK A2 (TELESAT 2),20-Apr-73,-41.7
OPS 6063,6-Mar-73,76.3
OPS 9390,20-Dec-72,18.8
ANIK A1 (TELESAT 1),10-Nov-72,-43
OPS 1570,1-Mar-72,-136.2
OPS 3811,5-May-71,-132.7
NATO 2B,3-Feb-71,-105.4
OPS 7329,1-Sep-70,176.5
SKYNET 1B,19-Aug-70,#VALUE!
OPS 5346,19-Jun-70,86
NATO 2A,20-Mar-70,-103.1
SKYNET 1,22-Nov-69,-107.5
ATS 5,12-Aug-69,-125.7
OPS 3148,13-Apr-69,113.8
OPS 0757 (TACSAT),9-Feb-69,-70.2
LES 6,26-Sep-68,-95.3
ERS 21 (OV5-4),26-Sep-68,#VALUE!
OV2-5,26-Sep-68,124.7
OPS 2222,6-Aug-68,134
DODGE 1,1-Jul-67,55.8
LES 5,1-Jul-67,-71.7
OPS 9381 (GGTS),16-Jun-66,-82
SYNCOM 3,19-Aug-64,170.4
SYNCOM 2 (A 26),26-Jul-63,64.3
SYNCOM 1,14-Feb-63,56.7
